cog_id,root,Dscore,Statistic,Pvalue,AdjPvalue,clade_name,protein_id,ssp_id,preferred_name
COG1055,30,0.5638,5.818,2.99e-9,1.9e-5,Rhodophyta,FBpp0077085,7227,hoe2
COG1055,30,0.5638,5.818,2.99e-9,1.9e-5,Rhodophyta,FBpp0077087,7227,hoe1
COG1055,30,0.5638,5.818,2.99e-9,1.9e-5,Rhodophyta,FBpp0085285,7227,CG31693
KOG2947,30,0.3757,4.198,1.35e-5,0.0858,Rhodophyta,FBpp0074633,7227,CG7328
KOG2947,30,0.3757,4.198,1.35e-5,0.0858,Rhodophyta,FBpp0074634,7227,CG7335
KOG2947,30,0.3757,4.198,1.35e-5,0.0858,Rhodophyta,FBpp0075906,7227,CG7551
KOG2947,30,0.3757,4.198,1.35e-5,0.0858,Rhodophyta,FBpp0075908,7227,CG12289
KOG2489,31,0.9646,8.332,3.98e-17,2.54e-13,SAR,FBpp0073557,7227,CG4332
KOG2489,31,0.9646,8.332,3.98e-17,2.54e-13,SAR,FBpp0077166,7227,CG3702
KOG0764,31,0.9676,8.328,4.11e-17,2.62e-13,SAR,FBpp0291674,7227,CG8026
COG1048,31,0.9697,8.319,4.43e-17,2.82e-13,SAR,FBpp0081736,7227,Irp-1B
COG1048,31,0.9697,8.319,4.43e-17,2.82e-13,SAR,FBpp0081812,7227,CG4706
COG1048,31,0.9697,8.319,4.43e-17,2.82e-13,SAR,FBpp0083720,7227,Irp-1A
COG1048,31,0.9697,8.319,4.43e-17,2.82e-13,SAR,FBpp0289654,7227,Acon
COG0760,31,0.9674,8.26,7.27e-17,4.63e-13,SAR,FBpp0072418,7227,CG32845
COG0760,31,0.9674,8.26,7.27e-17,4.63e-13,SAR,FBpp0076894,7227,dod
COG0760,31,0.9674,8.26,7.27e-17,4.63e-13,SAR,FBpp0084190,7227,CG11858
COG0050,31,0.9647,8.254,7.67e-17,4.88e-13,SAR,FBpp0086790,7227,EfTuM
COG0050,31,0.9647,8.254,7.67e-17,4.88e-13,SAR,FBpp0088054,7227,CG12736
COG0372,31,0.9678,8.249,8.01e-17,5.1e-13,SAR,FBpp0070871,7227,kdn
COG0372,31,0.9678,8.249,8.01e-17,5.1e-13,SAR,FBpp0082025,7227,CG14740
KOG0768,31,0.9271,8.241,8.53e-17,5.43e-13,SAR,FBpp0084307,7227,CG4743
COG0285,31,0.9479,8.241,8.55e-17,5.45e-13,SAR,FBpp0073488,7227,CG2543
COG0285,31,0.9479,8.241,8.55e-17,5.45e-13,SAR,FBpp0077198,7227,CG31773
COG0285,31,0.9479,8.241,8.55e-17,5.45e-13,SAR,FBpp0300449,7227,fred
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0072306,7227,zip
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0072567,7227,Myo61F
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0076320,7227,Prm
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0079064,7227,ninaC
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0079097,7227,Myo28B1
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0079625,7227,Myo31DF
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0080282,7227,ck
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0080452,7227,Mhc
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0082685,7227,Mhcl
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0088684,7227,didum
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0099956,7227,Myo95E
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0290582,7227,jar
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291458,7227,CG42621
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291459,7227,CG15831
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291460,7227,CG40155
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291463,7227,CG42623
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291464,7227,CG40204
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291465,7227,CG42624
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291466,7227,CG41281
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0291467,7227,CG41527
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0292925,7227,d
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0302017,7227,Myo10A
COG5022,31,0.9792,8.24,8.63e-17,5.5e-13,SAR,FBpp0304331,7227,CG43796
COG5077,31,0.9998,8.229,9.42e-17,6e-13,SAR,FBpp0073474,7227,Usp7
COG5077,31,0.9998,8.229,9.42e-17,6e-13,SAR,FBpp0076802,7227,Usp47
COG5077,31,0.9998,8.229,9.42e-17,6e-13,SAR,FBpp0085202,7227,faf
COG5077,31,0.9998,8.229,9.42e-17,6e-13,SAR,FBpp0303340,7227,puf
KOG2280,31,0.9466,8.228,9.53e-17,6.07e-13,SAR,FBpp0081459,7227,Vps16A
COG5259,31,0.9694,8.226,9.68e-17,6.17e-13,SAR,FBpp0082692,7227,mor
KOG0401,31,0.9674,8.208,1.12e-16,7.15e-13,SAR,FBpp0088566,7227,eIF4G2
KOG0401,31,0.9674,8.208,1.12e-16,7.15e-13,SAR,FBpp0100139,7227,NAT1
KOG0401,31,0.9674,8.208,1.12e-16,7.15e-13,SAR,FBpp0111817,7227,eIF4G
KOG0401,31,0.9674,8.208,1.12e-16,7.15e-13,SAR,FBpp0297530,7227,CG8963
COG0429,31,0.9586,8.206,1.14e-16,7.25e-13,SAR,FBpp0087661,7227,Hydr1
COG0429,31,0.9586,8.206,1.14e-16,7.25e-13,SAR,FBpp0300634,7227,Hydr2
KOG0120,31,0.9801,8.203,1.17e-16,7.47e-13,SAR,FBpp0071961,7227,LS2
KOG0120,31,0.9801,8.203,1.17e-16,7.47e-13,SAR,FBpp0298005,7227,U2af50
COG0015,31,0.9697,8.189,1.32e-16,8.41e-13,SAR,FBpp0082816,7227,AdSL
COG0339,31,0.9975,8.175,1.47e-16,9.39e-13,SAR,FBpp0084123,7227,CG11771
COG0339,31,0.9975,8.175,1.47e-16,9.39e-13,SAR,FBpp0085393,7227,CG7791
COG0023,31,0.9998,8.175,1.48e-16,9.43e-13,SAR,FBpp0072908,7227,CG17737
COG0023,31,0.9998,8.175,1.48e-16,9.43e-13,SAR,FBpp0302657,7227,CG9099
COG5647,31,1,8.169,1.56e-16,9.92e-13,SAR,FBpp0075633,7227,CG11261
COG5647,31,1,8.169,1.56e-16,9.92e-13,SAR,FBpp0084786,7227,Cul5
COG5647,31,1,8.169,1.56e-16,9.92e-13,SAR,FBpp0085254,7227,Cul2
COG5647,31,1,8.169,1.56e-16,9.92e-13,SAR,FBpp0087897,7227,Cul4
COG5647,31,1,8.169,1.56e-16,9.92e-13,SAR,FBpp0087921,7227,Cul1
COG5647,31,1,8.169,1.56e-16,9.92e-13,SAR,FBpp0291369,7227,Cul3
COG0654,31,0.9742,8.164,1.62e-16,1.03e-12,SAR,FBpp0078759,7227,CG7277
COG0654,31,0.9742,8.164,1.62e-16,1.03e-12,SAR,FBpp0088005,7227,cn
KOG3399,31,0.9596,8.163,1.64e-16,1.04e-12,SAR,FBpp0073620,7227,Yippee
KOG3399,31,0.9596,8.163,1.64e-16,1.04e-12,SAR,FBpp0305119,7227,CG15309
KOG2296,31,0.9526,8.159,1.69e-16,1.07e-12,SAR,FBpp0081508,7227,CG8135
COG0605,31,0.9869,8.154,1.76e-16,1.12e-12,SAR,FBpp0086226,7227,Sod2
COG0404,31,0.9443,8.154,1.76e-16,1.12e-12,SAR,FBpp0070620,7227,CG3626
COG0404,31,0.9443,8.154,1.76e-16,1.12e-12,SAR,FBpp0079697,7227,CG6415
COG0404,31,0.9443,8.154,1.76e-16,1.12e-12,SAR,FBpp0088528,7227,Sardh
KOG1278,31,0.9748,8.152,1.78e-16,1.14e-12,SAR,FBpp0076833,7227,CG10590
KOG1278,31,0.9748,8.152,1.78e-16,1.14e-12,SAR,FBpp0080109,7227,TM9SF4
KOG1278,31,0.9748,8.152,1.78e-16,1.14e-12,SAR,FBpp0080923,7227,CG9318
COG0265,31,0.9993,8.151,1.81e-16,1.15e-12,SAR,FBpp0072282,7227,CG3589
COG0265,31,0.9993,8.151,1.81e-16,1.15e-12,SAR,FBpp0082314,7227,CG9588
COG0265,31,0.9993,8.151,1.81e-16,1.15e-12,SAR,FBpp0303078,7227,HtrA2
COG3346,31,0.9031,8.15,1.82e-16,1.16e-12,SAR,FBpp0076607,7227,Surf1
KOG0007,31,0.9773,8.148,1.85e-16,1.18e-12,SAR,FBpp0075048,7227,scaf6
KOG0007,31,0.9773,8.148,1.85e-16,1.18e-12,SAR,FBpp0082817,7227,CG16941
KOG3151,31,0.9771,8.144,1.92e-16,1.22e-12,SAR,FBpp0075068,7227,Rpn12
KOG3151,31,0.9771,8.144,1.92e-16,1.22e-12,SAR,FBpp0075422,7227,Rpn12R
KOG2445,31,0.9539,8.143,1.93e-16,1.23e-12,SAR,FBpp0087936,7227,Nup44A
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0075902,7227,CG11726
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0076567,7227,CG33278
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0076923,7227,CG33714
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0077144,7227,CG15440
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0080510,7227,CG12288
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0081367,7227,CG8021
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0082318,7227,Rbp4
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0082602,7227,CG5213
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0084463,7227,Rb97D
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0084669,7227,Hrb98DE
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0084973,7227,CG7903
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0085061,7227,CG1340
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0088562,7227,tra2
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0089110,7227,ssx
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0089381,7227,Rbp2
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0111448,7227,CG34334
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0111476,7227,CG34354
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0112403,7227,eIF-4B
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0289481,7227,CG42458
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0290490,7227,Larp7
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0290611,7227,CG34362
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0297274,7227,CG4612
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0302741,7227,Hrb87F
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0303693,7227,Sxl
KOG0118,31,1,8.141,1.96e-16,1.25e-12,SAR,FBpp0304242,7227,bol
COG0345,31,0.9723,8.137,2.02e-16,1.29e-12,SAR,FBpp0082895,7227,P5cr-2
COG0345,31,0.9723,8.137,2.02e-16,1.29e-12,SAR,FBpp0083127,7227,P5cr
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0072066,7227,Sox14
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0072068,7227,CG30178
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0080752,7227,Pax
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0081018,7227,CG31988
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0081019,7227,CG31624
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0099801,7227,Zasp52
KOG1703,31,0.9433,8.132,2.11e-16,1.35e-12,SAR,FBpp0111439,7227,CG34325
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0071421,7227,CG2111
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0071435,7227,CG9806
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0072583,7227,Psa
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0075867,7227,CG6071
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0082209,7227,CG8774
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0082211,7227,CG32473
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0083523,7227,CG5849
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0083524,7227,CG31343
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0083525,7227,CG31233
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0083526,7227,CG31198
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0084751,7227,CG14516
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0084768,7227,SP1029
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0084772,7227,CG11951
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0110098,7227,CG4467
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0110455,7227,CG40470
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0111795,7227,sda
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0271735,7227,CG3502
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0288476,7227,CG8773
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0289130,7227,CG42335
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0297620,7227,CG7653
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0300412,7227,CG10602
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0304704,7227,CG31445
COG0308,31,0.9998,8.129,2.17e-16,1.38e-12,SAR,FBpp0304706,7227,CG31427
COG5160,31,0.9992,8.127,2.2e-16,1.4e-12,SAR,FBpp0073537,7227,CG12717
COG5160,31,0.9992,8.127,2.2e-16,1.4e-12,SAR,FBpp0074462,7227,Ulp1
COG5160,31,0.9992,8.127,2.2e-16,1.4e-12,SAR,FBpp0075663,7227,CG32110
COG5160,31,0.9992,8.127,2.2e-16,1.4e-12,SAR,FBpp0076659,7227,velo
COG5160,31,0.9992,8.127,2.2e-16,1.4e-12,SAR,FBpp0112811,7227,CG41423
COG5160,31,0.9992,8.127,2.2e-16,1.4e-12,SAR,FBpp0289914,7227,CG11023
KOG4206,31,0.9786,8.127,2.21e-16,1.41e-12,SAR,FBpp0070716,7227,snf
KOG4206,31,0.9786,8.127,2.21e-16,1.41e-12,SAR,FBpp0292902,7227,Snp
COG2518,31,0.9448,8.119,2.35e-16,1.5e-12,SAR,FBpp0078405,7227,Pcmt
KOG2675,31,0.9917,8.119,2.36e-16,1.5e-12,SAR,FBpp0099391,7227,capt
KOG3077,31,0.9198,8.114,2.46e-16,1.56e-12,SAR,FBpp0074607,7227,CG6597
KOG3077,31,0.9198,8.114,2.46e-16,1.56e-12,SAR,FBpp0086916,7227,CG13322
KOG3077,31,0.9198,8.114,2.46e-16,1.56e-12,SAR,FBpp0297285,7227,CG7427
COG5103,31,0.9995,8.113,2.47e-16,1.57e-12,SAR,FBpp0293496,7227,Not1
COG2183,31,0.9985,8.11,2.54e-16,1.62e-12,SAR,FBpp0070861,7227,Spt6
COG2183,31,0.9985,8.11,2.54e-16,1.62e-12,SAR,FBpp0083670,7227,CG31156
KOG0758,31,0.9313,8.105,2.63e-16,1.67e-12,SAR,FBpp0077414,7227,colt
KOG0758,31,0.9313,8.105,2.63e-16,1.67e-12,SAR,FBpp0079017,7227,CG3476
KOG0758,31,0.9313,8.105,2.63e-16,1.67e-12,SAR,FBpp0084580,7227,CG5646
KOG2910,31,0.9528,8.103,2.69e-16,1.71e-12,SAR,FBpp0300826,7227,Vps20
KOG3482,31,0.975,8.097,2.82e-16,1.79e-12,SAR,FBpp0087118,7227,SmF
KOG1110,31,0.9456,8.096,2.84e-16,1.81e-12,SAR,FBpp0071240,7227,CG12056
KOG1110,31,0.9456,8.096,2.84e-16,1.81e-12,SAR,FBpp0077562,7227,c-cup
KOG1110,31,0.9456,8.096,2.84e-16,1.81e-12,SAR,FBpp0079963,7227,t-cup
KOG1110,31,0.9456,8.096,2.84e-16,1.81e-12,SAR,FBpp0080101,7227,CG16957
KOG1110,31,0.9456,8.096,2.84e-16,1.81e-12,SAR,FBpp0290813,7227,MSBP
COG0538,31,0.9469,8.093,2.92e-16,1.86e-12,SAR,FBpp0305272,7227,Idh
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0073131,7227,Gad1
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0077837,7227,CG5618
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0080697,7227,amd
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0080710,7227,Ddc
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0085475,7227,Tdc2
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0085476,7227,Tdc1
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0086158,7227,Sply
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0271885,7227,CG1427
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0301687,7227,b
COG0076,31,0.9929,8.092,2.94e-16,1.87e-12,SAR,FBpp0304256,7227,Hdc
COG5050,31,0.9985,8.088,3.03e-16,1.93e-12,SAR,FBpp0079119,7227,CG7149
COG5050,31,0.9985,8.088,3.03e-16,1.93e-12,SAR,FBpp0080790,7227,CG33116
COG5050,31,0.9985,8.088,3.03e-16,1.93e-12,SAR,FBpp0080791,7227,CG31697
COG5050,31,0.9985,8.088,3.03e-16,1.93e-12,SAR,FBpp0086818,7227,bbc
KOG1043,31,0.9675,8.084,3.14e-16,2e-12,SAR,FBpp0072255,7227,Letm1
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0076782,7227,Rcc1
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0077598,7227,CG7420
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0077702,7227,CG3862
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0078116,7227,Als2
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0078816,7227,CG9135
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0083546,7227,CG6678
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0084850,7227,ca
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0086322,7227,CG8060
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0290235,7227,CG33288
COG5184,31,1,8.077,3.31e-16,2.11e-12,SAR,FBpp0290558,7227,HERC2
COG5104,31,0.9467,8.077,3.32e-16,2.11e-12,SAR,FBpp0077333,7227,CG3542
COG5104,31,0.9467,8.077,3.32e-16,2.11e-12,SAR,FBpp0302662,7227,CG8949
KOG2031,31,0.9453,8.076,3.34e-16,2.12e-12,SAR,FBpp0077263,7227,gkt
COG1565,31,0.9273,8.071,3.49e-16,2.23e-12,SAR,FBpp0081828,7227,CG17726
COG3474,31,0.9693,8.067,3.61e-16,2.3e-12,SAR,FBpp0080445,7227,Cyt-c-d
COG3474,31,0.9693,8.067,3.61e-16,2.3e-12,SAR,FBpp0080446,7227,Cyt-c-p
KOG0412,31,0.985,8.066,3.63e-16,2.31e-12,SAR,FBpp0079628,7227,CG7456
KOG2054,31,0.9803,8.066,3.64e-16,2.32e-12,SAR,FBpp0082727,7227,Mat89Ba
COG5161,31,0.9733,8.064,3.7e-16,2.36e-12,SAR,FBpp0089163,7227,Cpsf160
COG0578,31,0.9475,8.063,3.72e-16,2.37e-12,SAR,FBpp0086442,7227,Gpo-1
COG0578,31,0.9475,8.063,3.72e-16,2.37e-12,SAR,FBpp0087981,7227,CG2137
COG0578,31,0.9475,8.063,3.72e-16,2.37e-12,SAR,FBpp0294018,7227,CG7311
COG0331,31,0.9522,8.056,3.93e-16,2.5e-12,SAR,FBpp0075038,7227,beg
KOG1780,31,0.9264,8.053,4.03e-16,2.57e-12,SAR,FBpp0074151,7227,SmG
COG1382,31,0.9775,8.051,4.1e-16,2.61e-12,SAR,FBpp0076858,7227,CG10635
COG1382,31,0.9775,8.051,4.1e-16,2.61e-12,SAR,FBpp0303214,7227,CG7770
KOG2066,31,0.9384,8.05,4.13e-16,2.63e-12,SAR,FBpp0305699,7227,lt
COG0112,31,0.9693,8.049,4.16e-16,2.65e-12,SAR,FBpp0070792,7227,CG3011
COG5108,31,0.972,8.048,4.19e-16,2.67e-12,SAR,FBpp0304562,7227,mtRNApol
KOG0285,31,0.9985,8.048,4.22e-16,2.68e-12,SAR,FBpp0073459,7227,Tango4
KOG3677,31,0.9613,8.047,4.24e-16,2.7e-12,SAR,FBpp0075754,7227,CG5642
COG2214,31,1,8.047,4.25e-16,2.7e-12,SAR,FBpp0071014,7227,CG32727
COG2214,31,1,8.047,4.25e-16,2.7e-12,SAR,FBpp0081841,7227,CG17187
COG2214,31,1,8.047,4.25e-16,2.7e-12,SAR,FBpp0081843,7227,CG6693
COG2214,31,1,8.047,4.25e-16,2.7e-12,SAR,FBpp0085043,7227,jdp
COG2214,31,1,8.047,4.25e-16,2.7e-12,SAR,FBpp0288463,7227,CG7394
COG0022,31,0.9735,8.046,4.26e-16,2.72e-12,SAR,FBpp0084735,7227,CG11876
COG0022,31,0.9735,8.046,4.26e-16,2.72e-12,SAR,FBpp0112484,7227,CG17691
KOG4209,31,0.9733,8.045,4.31e-16,2.75e-12,SAR,FBpp0081544,7227,RnpS1
KOG4209,31,0.9733,8.045,4.31e-16,2.75e-12,SAR,FBpp0087863,7227,Pabp2
COG0074,31,0.9726,8.045,4.32e-16,2.75e-12,SAR,FBpp0073010,7227,Scsalpha
COG0074,31,0.9726,8.045,4.32e-16,2.75e-12,SAR,FBpp0083183,7227,CG6255
KOG1032,31,0.9484,8.043,4.39e-16,2.79e-12,SAR,FBpp0071601,7227,CG30284
KOG1032,31,0.9484,8.043,4.39e-16,2.79e-12,SAR,FBpp0297429,7227,CG34394
COG0408,31,0.8921,8.041,4.45e-16,2.84e-12,SAR,FBpp0078980,7227,Coprox
KOG1274,31,0.954,8.035,4.69e-16,2.99e-12,SAR,FBpp0086732,7227,Ctf4
KOG2130,31,0.9011,8.034,4.71e-16,3e-12,SAR,FBpp0083632,7227,PSR
KOG2034,31,0.9708,8.03,4.87e-16,3.1e-12,SAR,FBpp0070259,7227,dor
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0071968,7227,Gr59f
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0071969,7227,CG30185
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0072341,7227,GstE12
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0073609,7227,GstT4
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0081520,7227,GstZ2
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0081522,7227,GstZ1
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082041,7227,GstD2
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082042,7227,GstD3
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082043,7227,GstD4
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082044,7227,GstD5
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082045,7227,GstD6
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082046,7227,GstD7
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082047,7227,GstD8
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082078,7227,GstD9
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0082079,7227,GstD10
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0084761,7227,Ef1gamma
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085850,7227,GstE1
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085851,7227,GstE2
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085852,7227,GstE3
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085853,7227,GstE4
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085854,7227,GstE5
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085855,7227,GstE6
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085856,7227,GstE7
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085857,7227,GstE8
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085858,7227,GstE9
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085876,7227,GstE11
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0085905,7227,GstE10
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0086857,7227,GstE14
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0087548,7227,GstT1
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0087549,7227,GstT2
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0099824,7227,GstD1
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0113057,7227,GstD11
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0289447,7227,GstT3
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0290855,7227,gfzf
COG0625,31,0.9692,8.028,4.94e-16,3.15e-12,SAR,FBpp0291657,7227,GstE13
COG0501,31,0.992,8.027,5.01e-16,3.19e-12,SAR,FBpp0075901,7227,CG7573
COG0501,31,0.992,8.027,5.01e-16,3.19e-12,SAR,FBpp0086207,7227,ste24a
COG0501,31,0.992,8.027,5.01e-16,3.19e-12,SAR,FBpp0086208,7227,ste24b
